name,phone,groups
Anna Andersson,0701111111,Medarbetare;Norra
Bertil Bengtsson,0702222222,Medarbetare;Södra
Greta Galopp,0748763576,Sjuksköterska;Södra
Nils Nilsson,0830340205,Medabetare;Södra
Testperson Holger,0939200930,Medarbetare;Norra
Testis Två,0742738237,Medarbetare;Norra
Synkad Femtonmin,1234567891,Medabetare;Västra
Ny Synk,8749489393,Medarbetare
Hoppas Hoppas,0938373838,Medarbetare
Torsdag Synk,931923023,Medarbetare
Går Två,3293929303,Medarbetare
AAA AAA,9875678,Medarbetare
AAa Igen,9809809,Hej
ASista Chans,3424,Hej
